f1,f2,f3,f4,f5,f6,f7,f8
4.2299999999999995,4.234999999999999,1.28,0.24875,0.21645,c0,2.347,1.035
3.285,3.36,0.96,0.156,0.10529999999999999,c0,1.203,0.42000000000000004
4.59,4.34,1.4,0.21875,0.20385,c0,2.301,1.2000000000000002
4.95,4.83,1.44,0.33275,0.3618,c0,3.383,1.5
4.95,4.795,1.52,0.445,0.369,c0,3.77,1.4685
3.375,3.5,1.12,0.121,0.12735,c1,1.208,0.5369999999999999
3.285,3.5,1.04,0.1545,0.09765,c0,1.189,0.4605
3.915,3.8850000000000002,1.12,0.19725,0.135,c2,1.53,0.6180000000000001
3.96,3.9899999999999998,1.04,0.17350000000000002,0.16065,c2,1.533,0.606
4.140000000000001,4.2,1.36,0.228,0.3033,c0,2.361,0.9869999999999999
3.69,3.71,1.24,0.14025,0.15165,c0,1.431,0.642
4.32,4.375,1.44,0.2825,0.26775,c0,2.4459999999999997,1.0125000000000002
2.5200000000000005,2.52,0.72,0.04425,0.036000000000000004,c2,0.451,0.27
5.13,4.97,1.56,0.44925,0.39915,c0,2.696,1.3605
3.2399999999999998,3.2550000000000003,0.96,0.096,0.10125,c1,0.953,0.48
3.1049999999999995,3.22,0.92,0.09475,0.09179999999999999,c2,0.843,0.333
4.815,4.62,1.6,0.3665,0.2862,c0,3.582,1.62
4.7700000000000005,4.760000000000001,1.48,0.2195,0.2205,c2,2.219,1.02
4.7700000000000005,5.075,1.52,0.415,0.35819999999999996,c1,3.463,1.215
4.2299999999999995,4.2,1.08,0.23275,0.17595000000000002,c1,1.94,0.792
4.455,4.305,1.6,0.282,0.20429999999999998,c0,2.438,1.1655
4.5,4.585,1.64,0.31075,0.33525,c1,3.056,1.3605
3.5100000000000002,3.29,1.2,0.10925,0.07965,c0,1.271,0.765
2.475,2.52,0.88,0.0475,0.04725,c2,0.467,0.255
4.2299999999999995,4.0249999999999995,1.32,0.2175,0.17729999999999999,c1,1.7380000000000002,0.7140000000000001
4.005,3.9200000000000004,1.2,0.18425,0.1683,c2,1.645,0.7080000000000001
2.9250000000000003,2.905,1.12,0.07675,0.09135000000000001,c0,0.8340000000000001,0.43200000000000005
4.635,4.375,1.44,0.26275,0.2268,c1,2.697,1.1775
1.3499999999999999,1.505,0.24,0.00575,0.0045000000000000005,c2,0.077,0.03
4.2749999999999995,4.165,1.12,0.18125,0.17009999999999997,c0,1.8880000000000001,0.9450000000000001
4.41,4.305,1.52,0.23475,0.2313,c1,2.269,1.044
3.915,3.9200000000000004,1.04,0.177,0.1557,c2,1.554,0.666
3.555,3.6750000000000003,0.96,0.1485,0.12555000000000002,c2,1.216,0.42150000000000004
2.79,2.975,0.76,0.08225,0.0639,c2,0.701,0.30000000000000004
3.87,3.8500000000000005,1.2,0.13175,0.1098,c1,1.31,0.663
4.635,4.655,1.32,0.3105,0.2718,c0,2.771,1.0334999999999999
3.42,3.4299999999999997,0.88,0.14675,0.09045,c0,1.1079999999999999,0.44999999999999996
2.88,2.94,1.04,0.08225,0.0954,c1,0.827,0.35700000000000004
4.68,4.515000000000001,1.36,0.263,0.26325,c1,2.394,0.9510000000000001
3.33,3.395,1.24,0.2095,0.22095,c0,1.936,0.7095
4.905,4.935,1.44,0.30375,0.33075,c1,3.079,1.3935
4.635,4.445,1.28,0.26925,0.25379999999999997,c0,2.415,1.035
3.8249999999999997,3.8500000000000005,1.08,0.16625,0.13905,c2,1.461,0.645
4.005,3.8150000000000004,1.2,0.17675,0.1467,c1,1.6,0.621
3.195,3.29,0.96,0.08825,0.10125,c2,0.983,0.3975
2.6999999999999997,2.52,0.68,0.05925,0.057600000000000005,c2,0.54,0.22349999999999998
4.140000000000001,4.06,1.08,0.20125,0.18720000000000003,c1,1.8519999999999999,0.8250000000000001
4.1850000000000005,4.13,1.36,0.23175,0.216,c1,2.085,0.81
3.78,3.8500000000000005,1.16,0.1605,0.13365,c0,1.477,0.756
4.2749999999999995,4.27,1.24,0.22825,0.20520000000000002,c0,1.966,0.798
3.6,3.71,1.0,0.19899999999999998,0.1359,c0,1.515,0.5249999999999999
3.96,4.0249999999999995,1.2,0.243,0.1935,c2,1.966,0.717
2.295,2.24,0.68,0.036000000000000004,0.0297,c2,0.349,0.171
2.61,2.66,0.96,0.05875,0.05895,c0,0.5660000000000001,0.255
2.61,2.625,0.76,0.048,0.036899999999999995,c2,0.426,0.183
1.2600000000000002,1.4000000000000001,0.44,0.00725,0.007200000000000001,c0,0.07,0.03
4.455,4.41,1.28,0.24850000000000003,0.1989,c0,2.186,0.9450000000000001
2.475,2.6950000000000003,0.92,0.04875,0.07425000000000001,c0,0.537,0.255
2.16,2.275,0.6,0.02375,0.03195,c0,0.31,0.18
4.2749999999999995,4.234999999999999,1.4,0.3045,0.20925000000000002,c1,2.764,1.1955
2.5200000000000005,2.59,0.88,0.04725,0.04185,c1,0.461,0.22499999999999998
2.16,2.275,0.6,0.04125,0.04005,c2,0.374,0.15000000000000002
4.545,4.655,1.28,0.30725,0.2277,c0,2.5780000000000003,1.0995
3.735,3.6750000000000003,1.2,0.11775,0.1539,c1,1.431,0.81
4.5,4.13,1.32,0.22825,0.21825,c0,2.209,1.02
4.005,3.9549999999999996,1.2,0.18175,0.1656,c0,1.5919999999999999,0.6569999999999999
3.915,3.71,1.08,0.16375,0.11835000000000001,c0,1.473,0.66
1.665,1.7850000000000001,0.48,0.0195,0.0189,c2,0.185,0.07500000000000001
3.2399999999999998,3.2550000000000003,0.84,0.11,0.1431,c2,0.904,0.3105
3.96,4.06,1.16,0.17625,0.14805000000000001,c2,1.581,0.726
4.1850000000000005,4.13,1.2,0.196,0.2214,c1,1.994,1.02
2.61,2.6950000000000003,0.68,0.055999999999999994,0.0549,c2,0.501,0.24
4.095,3.8850000000000002,1.36,0.1545,0.17145000000000002,c2,1.687,0.8999999999999999
3.465,3.535,0.92,0.1215,0.09675,c1,1.232,0.63
2.6999999999999997,2.625,0.6,0.029500000000000002,0.027,c2,0.28800000000000003,0.132
2.5200000000000005,2.59,0.68,0.04025,0.04095,c2,0.396,0.174
3.375,3.395,1.04,0.14675,0.11565,c2,1.205,0.48
2.565,2.625,0.72,0.053,0.03555,c2,0.474,0.24
4.140000000000001,4.095,1.2,0.2905,0.19440000000000002,c0,2.412,0.9689999999999999
2.565,2.66,0.76,0.04475,0.05985000000000001,c2,0.486,0.22499999999999998
4.05,4.095,1.4,0.24625,0.2358,c0,2.255,1.0050000000000001
4.545,4.55,1.52,0.295,0.20700000000000002,c0,2.548,1.173
4.095,3.9899999999999998,1.24,0.17925,0.1566,c0,1.6640000000000001,0.831
3.375,3.4299999999999997,1.0,0.13949999999999999,0.10350000000000001,c2,1.089,0.39
4.32,4.2,1.36,0.22875,0.21915,c1,2.112,0.9405
3.285,3.3249999999999997,0.8,0.10125,0.07875,c2,0.263,0.36900000000000005
3.06,2.94,0.92,0.0875,0.08370000000000001,c0,0.843,0.405
4.140000000000001,4.06,1.44,0.20475,0.23355,c1,2.103,0.8280000000000001
4.41,4.41,1.36,0.26275,0.24570000000000003,c0,2.349,1.017
3.42,3.22,1.04,0.15,0.13725,c1,1.278,0.48
4.59,4.55,1.36,0.36225,0.3141,c1,3.134,1.173
3.6,3.64,0.88,0.14675,0.10395,c2,1.194,0.48
5.084999999999999,4.97,1.64,0.506,0.47025,c0,4.396,1.6425
4.2749999999999995,4.095,1.32,0.22899999999999998,0.1953,c1,2.106,0.8999999999999999
4.140000000000001,3.8850000000000002,1.16,0.19225,0.1422,c2,1.801,0.8295000000000001
3.735,3.64,1.28,0.10525,0.1278,c2,1.19,0.78
4.05,3.9200000000000004,1.12,0.23600000000000002,0.1638,c0,1.8,0.654
3.5100000000000002,3.465,1.0,0.142,0.1458,c2,1.331,0.6000000000000001
2.25,2.31,0.72,0.0425,0.036899999999999995,c0,0.39399999999999996,0.1815
2.43,2.5549999999999997,0.72,0.05025,0.0441,c2,0.431,0.1965
1.53,1.645,0.44,0.009000000000000001,0.00945,c0,0.103,0.058499999999999996
1.3499999999999999,1.47,0.44,0.0085,0.0108,c2,0.093,0.045
4.2749999999999995,4.305,1.36,0.27149999999999996,0.2214,c1,2.11,0.7035
4.140000000000001,4.0249999999999995,1.28,0.26899999999999996,0.1989,c1,2.206,0.747
4.2749999999999995,4.0249999999999995,1.36,0.18875,0.2556,c2,1.9340000000000002,0.8250000000000001
2.835,2.905,0.84,0.07025,0.06344999999999999,c2,0.66,0.28500000000000003
3.5100000000000002,3.535,0.96,0.12775,0.11925000000000001,c1,1.145,0.43799999999999994
4.59,4.445,1.48,0.263,0.2655,c1,2.572,1.2315
2.9250000000000003,2.905,0.8,0.08349999999999999,0.07200000000000001,c2,0.77,0.375
2.745,2.765,0.84,0.05675,0.05355,c2,0.568,0.2835
3.2399999999999998,3.115,0.88,0.091,0.06885,c2,0.847,0.42000000000000004
3.555,3.8850000000000002,1.04,0.111,0.11205,c2,1.117,0.51
5.22,5.04,1.52,0.49775,0.43019999999999997,c0,4.177,1.5915
2.565,2.66,0.72,0.05025,0.0351,c2,0.461,0.23249999999999998
2.475,2.59,0.68,0.052000000000000005,0.04815,c1,0.481,0.21000000000000002
3.42,3.22,1.08,0.1035,0.11025,c0,0.9640000000000001,0.43499999999999994
1.3499999999999999,1.4349999999999998,0.44,0.01275,0.0135,c2,0.084,0.036000000000000004
2.25,2.345,0.72,0.03775,0.03735,c0,0.36200000000000004,0.18
2.9250000000000003,3.01,0.92,0.07375,0.09585,c1,0.773,0.33
4.7250000000000005,4.62,1.6,0.30325,0.34155,c0,2.978,1.2630000000000001
3.96,3.6750000000000003,1.0,0.16025,0.1431,c1,1.423,0.5745
